epoch,step,train_loss_epoch,train_loss_step
0,49,,14.730414390563965
0,99,,13.75022029876709
0,149,,12.792398452758789
0,199,,12.578038215637207
0,249,,13.434025764465332
0,299,,13.455207824707031
0,349,,13.041543006896973
0,399,,13.491999626159668
0,449,,13.242438316345215
0,499,,13.472764015197754
0,549,,13.19312858581543
0,599,,12.142231941223145
0,649,,13.997477531433105
0,699,,13.686676979064941
0,749,,12.135000228881836
0,799,,12.197015762329102
0,849,,13.294466018676758
0,899,,13.776694297790527
0,909,13.353354454040527,
1,949,,13.08191967010498
1,999,,13.886290550231934
1,1049,,12.565653800964355
1,1099,,13.176966667175293
1,1149,,12.781427383422852
1,1199,,12.72349739074707
1,1249,,12.467345237731934
1,1299,,12.120092391967773
1,1349,,13.709139823913574
1,1399,,12.567138671875
1,1449,,13.474587440490723
1,1499,,13.042061805725098
1,1549,,13.134252548217773
1,1599,,11.950785636901855
1,1649,,12.957229614257812
1,1699,,12.347654342651367
1,1749,,11.723272323608398
1,1799,,12.331995964050293
1,1819,12.911328315734863,
2,1849,,13.892630577087402
2,1899,,12.99869441986084
2,1949,,13.487114906311035
2,1999,,12.263997077941895
2,2049,,13.31436824798584
2,2099,,13.264106750488281
2,2149,,13.172760009765625
2,2199,,12.86973762512207
2,2249,,12.738757133483887
2,2299,,12.87132453918457
2,2349,,13.114104270935059
2,2399,,12.954354286193848
2,2449,,12.340413093566895
2,2499,,12.58778190612793
2,2549,,12.792645454406738
2,2599,,12.494180679321289
2,2649,,12.714409828186035
2,2699,,12.409395217895508
2,2729,12.901372909545898,
3,2749,,12.509443283081055
3,2799,,12.87389087677002
3,2849,,12.164122581481934
3,2899,,13.107770919799805
3,2949,,12.693717002868652
3,2999,,12.19176959991455
3,3049,,12.748602867126465
3,3099,,12.583333015441895
3,3149,,14.103144645690918
3,3199,,14.807113647460938
3,3249,,13.937562942504883
3,3299,,12.66669750213623
3,3349,,13.899632453918457
3,3399,,13.146829605102539
3,3449,,12.445561408996582
3,3499,,13.328886032104492
3,3549,,13.13780689239502
3,3599,,13.370274543762207
3,3639,13.048312187194824,
4,3649,,13.553410530090332
4,3699,,13.387019157409668
4,3749,,13.012834548950195
4,3799,,12.76323413848877
4,3849,,13.034927368164062
4,3899,,12.695791244506836
4,3949,,13.343887329101562
4,3999,,13.111409187316895
4,4049,,12.527012825012207
4,4099,,12.34436321258545
4,4149,,13.116715431213379
4,4199,,13.12318229675293
4,4249,,13.041911125183105
4,4299,,12.341057777404785
4,4349,,13.361407279968262
4,4399,,13.410292625427246
4,4449,,12.242777824401855
4,4499,,12.810944557189941
4,4549,,13.543915748596191
4,4549,13.068351745605469,
5,4599,,12.847445487976074
5,4649,,12.62513256072998
5,4699,,13.36853313446045
5,4749,,12.927749633789062
5,4799,,13.08203125
5,4849,,13.565244674682617
5,4899,,13.048171997070312
5,4949,,12.359312057495117
5,4999,,12.674295425415039
5,5049,,12.790961265563965
5,5099,,12.684206008911133
5,5149,,13.184328079223633
5,5199,,12.82808780670166
5,5249,,13.161916732788086
5,5299,,13.082634925842285
5,5349,,13.50603199005127
5,5399,,12.406968116760254
5,5449,,13.430986404418945
5,5459,13.015893936157227,
6,5499,,12.451760292053223
6,5549,,13.357213020324707
6,5599,,13.499297142028809
6,5649,,13.057100296020508
6,5699,,12.132027626037598
6,5749,,12.93541145324707
6,5799,,13.294795036315918
6,5849,,13.27195930480957
6,5899,,12.432665824890137
6,5949,,13.414206504821777
6,5999,,13.091997146606445
6,6049,,13.725118637084961
6,6099,,12.94264030456543
6,6149,,12.996804237365723
6,6199,,12.514138221740723
6,6249,,12.935953140258789
6,6299,,12.319692611694336
6,6349,,12.388138771057129
6,6369,13.027606010437012,
7,6399,,12.591740608215332
7,6449,,12.54808521270752
7,6499,,14.354482650756836
7,6549,,11.807133674621582
7,6599,,13.072937965393066
7,6649,,12.549200057983398
7,6699,,12.731696128845215
7,6749,,14.707646369934082
7,6799,,13.021574974060059
7,6849,,12.560712814331055
7,6899,,13.558823585510254
7,6949,,13.427803993225098
7,6999,,13.091883659362793
7,7049,,12.569832801818848
7,7099,,12.963706016540527
7,7149,,13.12939453125
7,7199,,12.857017517089844
7,7249,,12.317243576049805
7,7279,12.935680389404297,
8,7299,,12.72963809967041
8,7349,,12.272456169128418
8,7399,,12.615700721740723
8,7449,,12.51267147064209
8,7499,,13.294183731079102
8,7549,,13.209057807922363
8,7599,,12.692269325256348
8,7649,,12.916021347045898
8,7699,,13.279074668884277
8,7749,,13.068143844604492
8,7799,,12.72301197052002
8,7849,,12.153619766235352
8,7899,,12.6488037109375
8,7949,,12.901923179626465
8,7999,,12.345259666442871
8,8049,,13.447653770446777
8,8099,,12.980463981628418
8,8149,,12.960607528686523
8,8189,13.042725563049316,
9,8199,,13.72334098815918
9,8249,,13.3759126663208
9,8299,,12.969840049743652
9,8349,,12.573328018188477
